query_id,query_text,synthetic_best_local_substitute_sku
Q0001,leather bag for women,MIR0163
Q0002,cadeau en cuir pour femme,MIR0237
Q0003,sac cuir femme kigali,MIR0237
Q0004,wallet gift men,MIR0221
Q0005,belt leather rwanda,MIR0330
Q0006,sandals cuir femme,MIR0248
Q0007,home decor basket,MIR0246
Q0008,panier decoration salon,MIR0329
Q0009,agaseke gift,MIR0329
Q0010,beaded necklace women,MIR0168
Q0011,earrings cadeau,MIR0087
Q0012,kitenge dress,MIR0099
Q0013,table runner home,MIR0390
Q0014,decor mural rwanda,MIR0246
Q0015,crossbody leather,MIR0034
Q0016,cuir portefeuille,MIR0284
Q0017,gift for mom rwanda,MIR0241
Q0018,house warming gift,MIR0168
Q0019,basket set,MIR0329
Q0020,bracelet femme,MIR0046
Q0021,lether bag,MIR0034
Q0022,cadeu cuir,MIR0284
Q0023,jewelery gift,MIR0168
Q0024,baskt home,MIR0285
Q0025,feme cadeau,MIR0126
Q0026,small wallet,MIR0373
Q0027,big tote,MIR0108
Q0028,decor,MIR0246
Q0029,cuir,MIR0284
Q0030,gift women,MIR0284
Q0031,cadeau leather kigali,MIR0126
Q0032,wallet made in rwanda,MIR0373
Q0033,cuir bag kigali,MIR0108
Q0034,basket in kigali,MIR0247
Q0035,portefeuille pour femme,MIR0126
Q0036,wallet in kigali,MIR0373
Q0037,femme wallet for women,MIR0221
Q0038,panier home decor kigali,MIR0246
Q0039,deco basket pour femme,MIR0126
Q0040,cadeau rwanda,MIR0126
Q0041,decor home,MIR0246
Q0042,portefeuille rwanda,MIR0329
Q0043,cuir bag for women,MIR0284
Q0044,cadeau maison,MIR0126
Q0045,jewelery,MIR0329
Q0046,decoration maison kigali,MIR0329
Q0047,baskt,MIR0329
Q0048,belt for office,MIR0097
Q0049,leather made in rwanda,MIR0126
Q0050,cadeau kigali,MIR0126
Q0051,femme wallet kigali,MIR0147
Q0052,cadeau salon,MIR0126
Q0053,lether,MIR0329
Q0054,bag made in rwanda,MIR0034
Q0055,bag made in rwanda,MIR0034
Q0056,sac cuir maison,MIR0284
Q0057,wallet for mom,MIR0221
Q0058,cadeau maison,MIR0126
Q0059,panier home decor rwanda,MIR0246
Q0060,basket for office,MIR0285
Q0061,basket for men,MIR0285
Q0062,bijoux salon,MIR0329
Q0063,cuire bag,MIR0034
Q0064,cuir bag kigali,MIR0108
Q0065,wallet,MIR0373
Q0066,bag in kigali,MIR0034
Q0067,sac gift pour femme,MIR0126
Q0068,sac cuir salon,MIR0284
Q0069,decor home,MIR0246
Q0070,deco basket rwanda,MIR0329
Q0071,wallet made in rwanda,MIR0373
Q0072,decoration maison pour homme,MIR0126
Q0073,cuir bag pour femme,MIR0237
Q0074,panier home decor rwanda,MIR0246
Q0075,bag in kigali,MIR0034
Q0076,leather in kigali,MIR0126
Q0077,panier pour femme,MIR0126
Q0078,sac gift rwanda,MIR0168
Q0079,belt for mom,MIR0097
Q0080,wallet for men,MIR0221
Q0081,home decor made in rwanda,MIR0246
Q0082,gift for mom,MIR0241
Q0083,home decor for women,MIR0246
Q0084,earrings in kigali,MIR0087
Q0085,decoration maison maison,MIR0329
Q0086,bag in kigali,MIR0034
Q0087,wallet,MIR0373
Q0088,belt for men,MIR0097
Q0089,cadeu,MIR0329
Q0090,belt for mom,MIR0097
Q0091,sac gift for women,MIR0284
Q0092,bijoux salon,MIR0329
Q0093,panier rwanda,MIR0329
Q0094,sac cuir maison,MIR0284
Q0095,bag for home,MIR0163
Q0096,cadeau kigali,MIR0126
Q0097,basket for office,MIR0285
Q0098,panier home decor for women,MIR0246
Q0099,cuir bag kigali,MIR0108
Q0100,femme wallet for women,MIR0221
Q0101,cadeau rwanda,MIR0126
Q0102,home decor for men,MIR0246
Q0103,gift made in rwanda,MIR0168
Q0104,portefeuille pour femme,MIR0126
Q0105,sac gift kigali,MIR0168
Q0106,dress made in rwanda,MIR0099
Q0107,dress for office,MIR0099
Q0108,decor home,MIR0246
Q0109,earrings for home,MIR0056
Q0110,lether,MIR0329
Q0111,decor home,MIR0246
Q0112,bijoux pour femme,MIR0126
Q0113,cadeau leather kigali,MIR0126
Q0114,panier home decor pour femme,MIR0246
Q0115,decoration maison pour femme,MIR0126
Q0116,femme wallet for women,MIR0221
Q0117,sac gift rwanda,MIR0168
Q0118,bijoux rwanda,MIR0329
Q0119,dress for mom,MIR0099
Q0120,cadeau leather pour femme,MIR0126
